[100511,1,0,9995,"2016-08-20"]
[100511,10,0,9995,"2016-10-12"]
[100511,149,0,9995,"2012-08-30"]
[100511,164,0,9995,"2016-10-26"]
[100511,187,0,9995,"2012-09-18"]
[100511,217,0,9995,"2016-10-02"]
[100511,355,0,9995,"2016-11-07"]
[100511,38,0,9995,"2016-08-04"]
[10074,10,0,2645,"2013-07-05"]
[10074,187,7,2645,"2017-10-19"]
[10074,217,0,2645,"2014-08-03"]
[10074,355,0,2645,"2016-07-28"]
[10074,367,0,2645,"2017-08-22"]
[1008,1,0,2500,"2016-12-27"]
[1008,10,0,2500,"2014-05-12"]
[1008,149,0,2500,"2013-03-01"]
[1008,217,0,2500,"2012-12-07"]
[1008,355,0,2500,"2012-12-24"]
[1008,367,0,2500,"2012-12-18"]
[1008,38,0,2500,"2012-12-07"]
[100842,10,6,63975,"2017-10-19"]
[100842,10,6,63975,"2017-10-21"]
[100842,164,1,63975,"2017-10-19"]
[100842,164,1,63975,"2017-10-21"]
[100842,217,3,63975,"2017-10-19"]
[100842,217,3,63975,"2017-10-21"]
[100842,355,5,63975,"2017-10-21"]
[100842,38,2,63975,"2017-10-19"]
[100842,38,2,63975,"2017-10-21"]
[101543,1,0,1595,"2017-06-09"]
[101543,10,0,1595,"2017-07-24"]
[101543,149,7,1595,"2017-10-19"]
[101543,164,0,1595,"2017-06-08"]
[101543,187,12,1595,"2017-10-19"]
[101543,217,6,1595,"2017-10-19"]
[101543,217,6,1595,"2017-10-21"]
[101543,355,6,1595,"2017-10-21"]
[101543,367,0,1595,"2017-06-22"]
[101543,38,7,1595,"2017-10-19"]
[101543,38,7,1595,"2017-10-21"]
[10157,1,53,3525,"2017-10-21"]
[10157,1,60,3525,"2017-10-19"]
[10157,10,113,3525,"2017-10-19"]
[10157,10,115,3525,"2017-10-21"]
[10157,149,48,3525,"2017-10-19"]
[10157,164,120,3525,"2017-10-21"]
[10157,164,127,3525,"2017-10-19"]
[10157,187,49,3525,"2017-10-21"]
[10157,187,52,3525,"2017-10-19"]
[10157,217,53,3525,"2017-10-21"]
[10157,217,87,3525,"2017-10-19"]
[10157,346,57,3525,"2017-10-19"]
[10157,346,97,3525,"2017-10-21"]
[10157,355,85,3525,"2017-10-19"]
[10157,355,86,3525,"2017-10-21"]
[10157,367,104,3525,"2017-10-21"]
[10157,38,101,3525,"2017-10-21"]
[10157,38,117,3525,"2017-10-19"]
[101600,10,0,4700,"2017-10-13"]
[101600,149,5,4700,"2017-10-21"]
[101600,149,6,4700,"2017-10-19"]
[101600,164,0,4700,"2017-09-15"]
[101600,217,23,4700,"2017-10-19"]
[101972,1,0,3495,"2017-05-17"]
[101972,10,0,3495,"2017-07-29"]
[101972,149,0,3495,"2017-08-26"]
[101972,164,0,3495,"2017-08-19"]
[101972,217,0,3495,"2017-07-17"]
[101972,355,0,3495,"2017-06-09"]
[101972,367,0,3495,"2017-07-06"]
[101972,38,0,3495,"2017-06-14"]
[102053,10,0,4975,"2013-10-16"]
[102053,149,0,4975,"2015-03-24"]
[102053,217,0,4975,"2017-01-03"]
[102053,355,0,4975,"2016-12-27"]
[102053,367,0,4975,"2017-02-28"]
[102053,38,0,4975,"2017-02-14"]
[102152,10,10,63975,"2017-10-19"]
[102152,10,10,63975,"2017-10-21"]
[102152,355,0,63975,"2016-11-29"]
[10223,1,0,2195,"2017-04-18"]
[10223,10,0,2195,"2017-01-25"]
[10223,149,0,2195,"2017-01-11"]
[10223,164,1,2195,"2017-10-19"]
[10223,187,0,2195,"2017-01-27"]
[10223,217,0,2195,"2017-01-23"]
[10223,38,0,2195,"2017-01-27"]
[103218,1,3,2995,"2017-10-19"]
[103218,10,0,2995,"2017-06-24"]
[103218,149,0,2995,"2017-10-20"]
[103218,149,1,2995,"2017-10-19"]
[103218,164,0,2995,"2017-05-26"]
[103218,187,0,2995,"2017-05-10"]
[103218,217,4,2995,"2017-10-19"]
[103218,217,4,2995,"2017-10-21"]
[103218,355,4,2995,"2017-10-21"]
[103218,367,0,2995,"2017-10-11"]
[103218,38,0,2995,"2017-06-17"]
[10322,1,10,1995,"2017-10-19"]
[10322,1,8,1995,"2017-10-21"]
[10322,10,14,1995,"2017-10-19"]
[10322,10,23,1995,"2017-10-21"]
[10322,149,3,1995,"2017-10-21"]
[10322,149,5,1995,"2017-10-19"]
[10322,164,12,1995,"2017-10-19"]
[10322,187,8,1995,"2017-10-21"]
[10322,187,9,1995,"2017-10-19"]
[10322,217,6,1995,"2017-10-21"]
[10322,217,8,1995,"2017-10-19"]
[10322,346,0,1995,"2017-10-06"]
[10322,355,15,1995,"2017-10-21"]
[10322,367,17,1995,"2017-10-21"]
[10322,38,13,1995,"2017-10-21"]
[10322,38,16,1995,"2017-10-19"]
[103341,1,20,2750,"2017-10-21"]
[103341,1,23,2750,"2017-10-19"]
[103341,10,29,2750,"2017-10-21"]
[103341,10,32,2750,"2017-10-19"]
[103341,149,16,2750,"2017-10-19"]
[103341,164,27,2750,"2017-10-21"]
[103341,164,28,2750,"2017-10-19"]
[103341,187,11,2750,"2017-10-19"]
[103341,187,28,2750,"2017-10-21"]
[103341,217,12,2750,"2017-10-19"]
[103341,217,23,2750,"2017-10-21"]
[103341,346,1,2750,"2017-10-19"]
[103341,346,10,2750,"2017-10-21"]
[103341,355,25,2750,"2017-10-21"]
[103341,355,27,2750,"2017-10-19"]
[103341,367,24,2750,"2017-10-21"]
[103341,38,20,2750,"2017-10-19"]
[103705,1,17,1795,"2017-10-19"]
[103705,1,17,1795,"2017-10-21"]
[103705,10,0,1795,"2017-09-15"]
[103705,149,6,1795,"2017-10-19"]
[103705,164,48,1795,"2017-10-19"]
[103705,187,0,1795,"2017-07-13"]
[103705,217,0,1795,"2017-10-17"]
[103705,355,0,1795,"2017-09-13"]
[103705,367,23,1795,"2017-10-21"]
[103705,38,3,1795,"2017-10-21"]
[103705,38,6,1795,"2017-10-19"]
[103747,1,13,3995,"2017-10-21"]
[103747,1,15,3995,"2017-10-19"]
[103747,10,103,3995,"2017-10-21"]
[103747,10,113,3995,"2017-10-19"]
[103747,149,15,3995,"2017-10-19"]
[103747,149,9,3995,"2017-10-21"]
[103747,164,29,3995,"2017-10-21"]
[103747,164,37,3995,"2017-10-19"]
[103747,187,20,3995,"2017-10-21"]
[103747,187,22,3995,"2017-10-19"]
[103747,217,138,3995,"2017-10-19"]
[103747,346,20,3995,"2017-10-21"]
[103747,346,24,3995,"2017-10-19"]
[103747,355,19,3995,"2017-10-21"]
[103747,367,39,3995,"2017-10-21"]
[103747,38,32,3995,"2017-10-19"]
[103804,10,0,57500,"2011-12-18"]
[103804,149,0,57500,"2011-11-28"]
[103804,164,0,57500,"2012-07-03"]
